# Format:          MT3DData_1.0
# Description:     Data file generated at 2018/5/12 9:02:42
Receiver Location (m):      55
#          X            Y            Z
    -8000.00    -10000.00         0.00
    -8000.00     -8000.00         0.00
    -8000.00     -6000.00         0.00
    -8000.00     -4000.00         0.00
    -8000.00     -2000.00         0.00
    -8000.00         0.00         0.00
    -8000.00      2000.00         0.00
    -8000.00      4000.00         0.00
    -8000.00      6000.00         0.00
    -8000.00      8000.00         0.00
    -8000.00     10000.00         0.00
    -4000.00    -10000.00         0.00
    -4000.00     -8000.00         0.00
    -4000.00     -6000.00         0.00
    -4000.00     -4000.00         0.00
    -4000.00     -2000.00         0.00
    -4000.00         0.00         0.00
    -4000.00      2000.00         0.00
    -4000.00      4000.00         0.00
    -4000.00      6000.00         0.00
    -4000.00      8000.00         0.00
    -4000.00     10000.00         0.00
        0.00    -10000.00         0.00
        0.00     -8000.00         0.00
        0.00     -6000.00         0.00
        0.00     -4000.00         0.00
        0.00     -2000.00         0.00
        0.00         0.00         0.00
        0.00      2000.00         0.00
        0.00      4000.00         0.00
        0.00      6000.00         0.00
        0.00      8000.00         0.00
        0.00     10000.00         0.00
     4000.00    -10000.00         0.00
     4000.00     -8000.00         0.00
     4000.00     -6000.00         0.00
     4000.00     -4000.00         0.00
     4000.00     -2000.00         0.00
     4000.00         0.00         0.00
     4000.00      2000.00         0.00
     4000.00      4000.00         0.00
     4000.00      6000.00         0.00
     4000.00      8000.00         0.00
     4000.00     10000.00         0.00
     8000.00    -10000.00         0.00
     8000.00     -8000.00         0.00
     8000.00     -6000.00         0.00
     8000.00     -4000.00         0.00
     8000.00     -2000.00         0.00
     8000.00         0.00         0.00
     8000.00      2000.00         0.00
     8000.00      4000.00         0.00
     8000.00      6000.00         0.00
     8000.00      8000.00         0.00
     8000.00     10000.00         0.00
Frequencies (Hz):       1
    1.00000e-02
DataType:  Rho_Phs
DataComp:     4
RhoXY
PhsXY
RhoYX
PhsYX
Data Block:     220
# FreqNo.  RxNo.   DTypeNo.    Value          Error
     1        1       1    1.000000e+00    2.000000e-02
     1        1       2    1.000000e+00    2.000000e-02
     1        1       3    1.000000e+00    2.000000e-02
     1        1       4    1.000000e+00    2.000000e-02
     1        2       1    1.000000e+00    2.000000e-02
     1        2       2    1.000000e+00    2.000000e-02
     1        2       3    1.000000e+00    2.000000e-02
     1        2       4    1.000000e+00    2.000000e-02
     1        3       1    1.000000e+00    2.000000e-02
     1        3       2    1.000000e+00    2.000000e-02
     1        3       3    1.000000e+00    2.000000e-02
     1        3       4    1.000000e+00    2.000000e-02
     1        4       1    1.000000e+00    2.000000e-02
     1        4       2    1.000000e+00    2.000000e-02
     1        4       3    1.000000e+00    2.000000e-02
     1        4       4    1.000000e+00    2.000000e-02
     1        5       1    1.000000e+00    2.000000e-02
     1        5       2    1.000000e+00    2.000000e-02
     1        5       3    1.000000e+00    2.000000e-02
     1        5       4    1.000000e+00    2.000000e-02
     1        6       1    1.000000e+00    2.000000e-02
     1        6       2    1.000000e+00    2.000000e-02
     1        6       3    1.000000e+00    2.000000e-02
     1        6       4    1.000000e+00    2.000000e-02
     1        7       1    1.000000e+00    2.000000e-02
     1        7       2    1.000000e+00    2.000000e-02
     1        7       3    1.000000e+00    2.000000e-02
     1        7       4    1.000000e+00    2.000000e-02
     1        8       1    1.000000e+00    2.000000e-02
     1        8       2    1.000000e+00    2.000000e-02
     1        8       3    1.000000e+00    2.000000e-02
     1        8       4    1.000000e+00    2.000000e-02
     1        9       1    1.000000e+00    2.000000e-02
     1        9       2    1.000000e+00    2.000000e-02
     1        9       3    1.000000e+00    2.000000e-02
     1        9       4    1.000000e+00    2.000000e-02
     1       10       1    1.000000e+00    2.000000e-02
     1       10       2    1.000000e+00    2.000000e-02
     1       10       3    1.000000e+00    2.000000e-02
     1       10       4    1.000000e+00    2.000000e-02
     1       11       1    1.000000e+00    2.000000e-02
     1       11       2    1.000000e+00    2.000000e-02
     1       11       3    1.000000e+00    2.000000e-02
     1       11       4    1.000000e+00    2.000000e-02
     1       12       1    1.000000e+00    2.000000e-02
     1       12       2    1.000000e+00    2.000000e-02
     1       12       3    1.000000e+00    2.000000e-02
     1       12       4    1.000000e+00    2.000000e-02
     1       13       1    1.000000e+00    2.000000e-02
     1       13       2    1.000000e+00    2.000000e-02
     1       13       3    1.000000e+00    2.000000e-02
     1       13       4    1.000000e+00    2.000000e-02
